table_name,ordinal_position,column_name,data_type,is_nullable,column_default
achievement,1,id,integer,NO,
achievement,2,faction,smallint,NO,0
achievement,3,map_id,integer,YES,
achievement,4,chain_id,smallint,NO,0
achievement,5,chain_pos,smallint,NO,0
achievement,6,category_id,integer,YES,
achievement,7,points,smallint,NO,0
achievement,8,order_in_group,smallint,NO,0
achievement,9,icon_id,integer,YES,
achievement,10,flags,integer,NO,0
achievement,11,req_criteria_count,smallint,NO,0
achievement,12,ref_achievement_id,integer,YES,
achievement,13,item_extra,integer,YES,
achievement,14,name,text,YES,
achievement,15,name_loc,jsonb,NO,'{}'::jsonb
achievement,16,description,text,YES,
achievement,17,description_loc,jsonb,NO,'{}'::jsonb
achievement,18,reward,text,YES,
achievement,19,reward_loc,jsonb,NO,'{}'::jsonb
achievement_category,1,id,integer,NO,
achievement_category,2,parent_cat,integer,YES,
achievement_category,3,parent_cat2,integer,YES,
achievement_category,4,name,text,YES,
achievement_category,5,name_loc,jsonb,NO,'{}'::jsonb
affixed_item,1,id,bigint,NO,nextval('affixed_item_id_seq'::regclass)
affixed_item,2,base_item_id,integer,YES,
affixed_item,3,item_id_observed,integer,YES,
affixed_item,4,name,text,YES,
affixed_item,5,icon_id,integer,YES,
affixed_item,6,item_level,smallint,NO,0
affixed_item,7,quality,USER-DEFINED,NO,'common'::item_quality
affixed_item,8,inventory_type,USER-DEFINED,NO,'non_equip'::inventory_type
affixed_item,9,prefix,text,YES,
affixed_item,10,suffix,text,YES,
affixed_item,11,rolled_stats,jsonb,NO,'[]'::jsonb
affixed_item,12,source_label,text,YES,
affixed_item,13,drop_zone_id,integer,YES,
affixed_item,14,raw_payload,jsonb,YES,
affixed_item,15,first_seen_at,timestamp with time zone,NO,now()
affixed_item,16,confirmation_count,integer,NO,1
affixed_item,17,bisbeard_id,text,YES,
affixed_item,18,name_norm,text,YES,
affixed_item,19,last_seen_at,timestamp with time zone,NO,now()
area,1,id,integer,NO,
area,2,map_id,integer,NO,
area,3,parent_area_id,integer,YES,
area,4,flags,integer,NO,0
area,5,level_min,smallint,YES,
area,6,level_max,smallint,YES,
area,7,faction_side,USER-DEFINED,NO,'neutral'::faction_side
area,8,expansion,smallint,NO,0
area,9,type,smallint,NO,0
area,10,name,text,YES,
area,11,name_loc,jsonb,NO,'{}'::jsonb
area,12,exploration_level,smallint,YES,
area,13,area_bit,integer,NO,0
area,14,area_level,smallint,YES,
areatrigger,1,id,integer,NO,
areatrigger,2,cu_flags,integer,NO,0
areatrigger,3,type,smallint,NO,0
areatrigger,4,map_id,integer,YES,
areatrigger,5,pos_x,real,NO,
areatrigger,6,pos_y,real,NO,
areatrigger,7,orientation,real,NO,0
areatrigger,8,name,text,YES,
areatrigger,9,quest_id,integer,YES,
blackmarket_listing,1,id,bigint,NO,nextval('blackmarket_listing_id_seq'::regclass)
blackmarket_listing,2,vendor_id,bigint,NO,
blackmarket_listing,3,slot_index,smallint,NO,
blackmarket_listing,4,item_id,integer,YES,
blackmarket_listing,5,item_link,text,YES,
blackmarket_listing,6,item_name,text,YES,
blackmarket_listing,7,price_copper,bigint,YES,
blackmarket_listing,8,stack,integer,NO,1
blackmarket_listing,9,num_available,integer,NO,'-1'::integer
blackmarket_listing,10,extra_costs,jsonb,NO,'{}'::jsonb
blackmarket_listing,11,first_seen_at,timestamp with time zone,NO,now()
blackmarket_listing,12,last_seen_at,timestamp with time zone,NO,now()
blackmarket_vendor,1,id,bigint,NO,nextval('blackmarket_vendor_id_seq'::regclass)
blackmarket_vendor,2,realm_id,smallint,YES,
blackmarket_vendor,3,guid,text,NO,
blackmarket_vendor,4,vendor_creature_id,integer,YES,
blackmarket_vendor,5,vendor_name,text,YES,
blackmarket_vendor,6,map_id,integer,YES,
blackmarket_vendor,7,area_id,integer,YES,
blackmarket_vendor,8,coord_x,real,YES,
blackmarket_vendor,9,coord_y,real,YES,
blackmarket_vendor,10,discovery_type,smallint,YES,
blackmarket_vendor,11,status,text,YES,
blackmarket_vendor,12,found_by_player,text,YES,
blackmarket_vendor,13,originator,text,YES,
blackmarket_vendor,14,first_seen_at,timestamp with time zone,NO,now()
blackmarket_vendor,15,last_seen_at,timestamp with time zone,NO,now()
blackmarket_vendor,16,raw_payload,jsonb,YES,
class,1,id,smallint,NO,
class,2,file_string,text,YES,
class,3,icon_id,integer,YES,
class,4,name,text,YES,
class,5,name_loc,jsonb,NO,'{}'::jsonb
class,6,power_type,smallint,NO,0
class,7,race_mask,integer,NO,0
class,8,roles,integer,NO,0
class,9,weapon_type_mask,integer,NO,0
class,10,armor_type_mask,integer,NO,0
class,11,expansion,smallint,NO,0
class,12,flags,integer,NO,0
class,13,slug,USER-DEFINED,YES,
class,14,is_ascension_custom,boolean,NO,false
class_spell,1,class_id,smallint,NO,
class_spell,2,spell_id,integer,NO,
class_spell,3,advancement_id,integer,YES,
class_spell,4,kind,text,NO,'ability'::text
class_spell,5,tab,text,YES,
class_spell,6,tier,smallint,NO,0
class_spell,7,col,smallint,NO,0
class_spell,8,req_level,smallint,YES,
craft_recipe,1,spell_id,integer,NO,
craft_recipe,2,item_id,integer,YES,
craft_recipe,3,num_result,smallint,NO,1
craft_recipe,4,profession,text,YES,
craft_recipe,5,reagents,jsonb,NO,'[]'::jsonb
craft_recipe,6,source,text,NO,'tsm'::text
craft_recipe,7,updated_at,timestamp with time zone,NO,now()
creature,1,id,integer,NO,
creature,2,cu_flags,integer,NO,0
creature,3,difficulty_entries,ARRAY,NO,'{}'::integer[]
creature,4,kill_credits,ARRAY,NO,'{}'::integer[]
creature,5,display_ids,ARRAY,NO,'{}'::integer[]
creature,6,texture_string,text,YES,
creature,7,icon_string,text,YES,
creature,8,model_id,integer,NO,0
creature,9,is_humanoid,boolean,NO,false
creature,10,name,text,YES,
creature,11,name_loc,jsonb,NO,'{}'::jsonb
creature,12,sub_name,text,YES,
creature,13,sub_name_loc,jsonb,NO,'{}'::jsonb
creature,14,min_level,smallint,NO,1
creature,15,max_level,smallint,NO,1
creature,16,expansion,smallint,NO,0
creature,17,faction_id,integer,YES,
creature,18,npc_flags,integer,NO,0
creature,19,rank,smallint,NO,0
creature,20,type,smallint,NO,0
creature,21,type_flags,integer,NO,0
creature,22,family,smallint,NO,0
creature,23,unit_class,smallint,NO,0
creature,24,unit_flags,integer,NO,0
creature,25,unit_flags2,integer,NO,0
creature,26,dynamic_flags,integer,NO,0
creature,27,flags_extra,integer,NO,0
creature,28,racial_leader,boolean,NO,false
creature,29,mechanic_immune_mask,integer,NO,0
creature,30,school_immune_mask,integer,NO,0
creature,31,dmg_school,smallint,NO,0
creature,32,dmg_multiplier,real,NO,1
creature,33,atk_speed_ms,integer,NO,0
creature,34,rng_atk_speed_ms,integer,NO,0
creature,35,mle_variance,real,NO,1
creature,36,rng_variance,real,NO,1
creature,37,dmg_min,real,NO,0
creature,38,dmg_max,real,NO,0
creature,39,mle_atk_pwr_min,integer,NO,0
creature,40,mle_atk_pwr_max,integer,NO,0
creature,41,rng_atk_pwr_min,integer,NO,0
creature,42,rng_atk_pwr_max,integer,NO,0
creature,43,loot_id,integer,YES,
creature,44,pickpocket_loot_id,integer,YES,
creature,45,skin_loot_id,integer,YES,
creature,46,min_gold,integer,NO,0
creature,47,max_gold,integer,NO,0
creature,48,health_min,integer,NO,1
creature,49,health_max,integer,NO,1
