table,row_count,restored_total_relation_bytes
achievement,22637,5177344
achievement_category,245,65536
affixed_item,13296,21463040
area,2853,892928
areatrigger,0,32768
blackmarket_listing,0,32768
blackmarket_vendor,0,40960
class,32,49152
class_spell,2755,524288
craft_recipe,1299,589824
creature,43213,24723456
creature_difficulty,1813,163840
creature_family,399,131072
creature_loot,4268812,488120320
creature_onkill_reputation,2724,385024
creature_quest_ends,7859,745472
creature_quest_starts,7430,729088
creature_search,0,32768
creature_spawn,153064,21479424
creature_spell_data,803,131072
creature_waypoint,0,8192
currency,69,65536
dbversion,1,16384
disenchant_loot,123,57344
dungeon_boss_extra,2,24576
event,0,24576
faction,417,172032
faction_template,843,196608
fishing_loot,65,57344
gameobject,25965,5611520
gameobject_loot,19283,2572288
gameobject_quest_ends,0,16384
gameobject_quest_starts,0,16384
gameobject_search,0,32768
gameobject_spawn,0,32768
glyphproperties,0,8192
holiday,0,16384
icon,72304,11583488
item_character_creation,75,40960
item_crafted_by,4915,647168
item_dbc,612871,45613056
item_display_info,243170,25116672
item_loot,6945,942080
item_stats,29382,7266304
itemenchantment,0,16384
items,117092,206323712
items_search,0,65536
itemset,163,212992
lfg_dungeon,439,180224
locale,6,49152
loot_link,0,24576
loot_template,0,49152
map,375,114688
mind_of_ascension_talent,8532,2392064
mind_of_ascension_tree,153,81920
mystic_enchant,825,1949696
npc_trainer,76213,6995968
npc_vendor,62977,6897664
objectdifficulty,0,40960
pet,0,16384
pickpocket_loot,10891,1556480
quest,18625,20758528
quest_objective_hotspot,2715,606208
quest_search,0,32768
quest_startend,10616,1409024
quest_xp,1000,106496
quickfact,0,16384
race,0,16384
random_property_pool,10087,1720320
random_suffix_pool,275,81920
realm,6,49152
reference_loot,13976,1851392
shapeshiftform,0,16384
skill_line_ability,44060,5685248
skillline,887,303104
skinning_loot,693,155648
sound,0,16384
sound_file,0,16384
source,0,32768
spawn,0,40960
spawn_override,0,8192
spell,240858,365207552
spell_bonus_data,216,73728
spell_cast_times,71,24576
spell_difficulty,0,8192
spell_duration,866,106496
spell_icon,16714,2195456
spell_radius,318,57344
spell_range,323,73728
spell_search,0,32768
talent,4753,786432
talent_tab,37,49152
taxinode,0,16384
taxipath,0,24576
title,190,73728
world_discovery,0,49152
world_map_area,300,106496
